,Id,Inactive,Calories,Distance,Avg_speed,Max_speed,Min_speed,Step_count,Weight,Height,Move_m_count,Walk,bmi,bmi_cdn
0,U001,71021475.01,846.6843633,2490.926869,0.550139352,1.7289389,0.260103583,4454.877637,50,160.5,67,Ver Low,19.53125,Normal
1,U001,71021475.01,1272,2490.926869,0.550139352,1.7289389,0.260103583,4454.877637,50,160.5,67,Ver Low,19.53125,Normal
2,U001,71021475.01,1272,2490.926869,0.550139352,1.7289389,0.260103583,4454.877637,50,160.5,67,Ver Low,19.53125,Normal
3,U001,71021475.01,1272,2490.926869,0.550139352,1.7289389,0.260103583,4454.877637,50,160.5,67,Ver Low,19.53125,Normal
4,U001,56826040,1271.999966,8.67012018,0.550139352,1.7289389,0.260103583,203,50,160.5,67,Ver Low,19.53125,Normal
5,U001,76206723,1410.393548,8075.997432,1.077930066,1.318049431,0.810962443,3588,50,160.5,57,Normal,19.53125,Normal
6,U001,76002983,1446.571885,5826.613619,0.681412274,12.46642494,0.26026693,6443,50,160.5,77,Normal,19.53125,Normal
7,U001,74619833,1441.140679,3253.466441,0.720912545,1.504765391,0.149905741,5820,50,160.5,68,Below Normal,19.53125,Normal
8,U001,77359904,1401.878797,3285.126677,0.616947805,1.274850368,0.279370517,5507,50,160.5,58,Below Normal,19.53125,Normal
9,U001,76864427,1371.694567,2165.573906,0.706641624,1.389793158,0.252904385,4114,50,160.5,51,Ver Low,19.53125,Normal
10,U001,85505923,1274.288264,39.30454409,0.319830656,0.379557729,0.260103583,278,50,160.5,,Ver Low,19.53125,Normal
11,U001,84019390,1414.055702,3877.165492,2.553698492,1.812729359,0.262402922,220,50,160.5,13,Below Normal,19.53125,Normal
12,U001,75278487,1456.200303,3373.362824,0.550139352,1.376852989,0.011536549,6102,50,160.5,76,Below Normal,19.53125,Normal
13,U001,76979516,1376.109631,2627.356552,0.515775299,1.905201316,0.125961557,4495,50,160.5,47,Ver Low,19.53125,Normal
14,U001,74239958,1457.464011,4408.334936,0.656868213,1.256000042,0.260103583,7262,50,160.5,78,Below Normal,19.53125,Normal
15,U001,3906103,1750.651531,2490.926869,0.550139352,1.7289389,0.260103583,4454.877637,50,160.5,,Ver Low,19.53125,Normal
16,U002,71021475.01,1142.999,473.26004,0.720912545,1.274850368,0.149905741,1383,47.5,165,56,Ver Low,17.26354454,Under Weight
17,U002,74619833,1329.3,1563.8301,0.616947805,1.389793158,0.260103583,4646,47.5,165,87,Ver Low,17.26354454,Under Weight
18,U002,77359904,1414.055702,1190.0201,0.706641624,0.379557729,0.252904385,3610,47.5,165,56,Ver Low,17.26354454,Under Weight
19,U002,76864427,1329.3,1239.49,0.319830656,1.812729359,0.260103583,3636,47.5,165,45,Ver Low,17.26354454,Under Weight
20,U002,85505923,1091.09985,1234.6602,0.720912545,1.274850368,0.262402922,3779,47.5,165,34,Ver Low,17.26354454,Under Weight
21,U002,84019390,1484.56,100.03999,0.616947805,1.389793158,0.011536549,3610,47.5,165,76,Ver Low,17.26354454,Under Weight
22,U002,75278487,2029.998,221.34,0.706641624,0.379557729,0.125961557,343,47.5,165,67,Ver Low,17.26354454,Under Weight
23,U002,76979516,2092.9998,806.51,0.319830656,1.812729359,0.260103583,721,47.5,165,23,Ver Low,17.26354454,Under Weight
24,U002,80099808.29,1645.999,1186.96,0.720912545,1.376852989,0.011536549,2510,47.5,165,12,Ver Low,17.26354454,Under Weight
25,U002,80459493.21,1432.3999,1748.63,0.616947805,1.274850368,0.125961557,3479,47.5,165,43,Ver Low,17.26354454,Under Weight
26,U002,80819178.14,1966.4998,1516.0599,0.706641624,1.389793158,0.260103583,4874,47.5,165,68,Ver Low,17.26354454,Under Weight
27,U002,81178863.07,1744.3999,1748.63,0.319830656,0.379557729,0.011536549,4287,47.5,165,57,Ver Low,17.26354454,Under Weight
28,U002,76979516,1645.999,1186.96,0.720912545,1.812729359,0.125961557,2510,47.5,165,53,Ver Low,17.26354454,Under Weight
29,U002,80099808.29,1432.3999,1748.63,0.616947805,1.376852989,0.260103583,3479,47.5,165,98,Ver Low,17.26354454,Under Weight
30,U003,71021475.01,1471.2525,9.407762,1.077675,0.260103583,0.616947805,13,55,165.5,13,Ver Low,20.2020202,Normal
31,U003,71021475.01,1471.2525,9.407762,1.077675,0.262402922,0.706641624,13,55,165.5,13,Ver Low,20.2020202,Normal
32,U003,71021475.01,1937.464,8603.74,1.461767,0.011536549,0.319830656,11101,55,165.5,50,Normal,20.2020202,Normal
33,U003,854567923,1937.464,8603.74,1.9444447,0.125961557,0.720912545,11101,55,165.5,50,Normal,20.2020202,Normal
34,U003,84765390,2404.223,5284.876,1.4850761,0.260103583,0.616947805,6838,55,165.5,88,Normal,20.2020202,Normal
35,U003,768278487,2404.223,5284.876,1.0509615,0.011536549,0.706641624,6838,55,165.5,38,Normal,20.2020202,Normal
36,U003,55679516,2333.0115,5077.9663,1.4220364,0.125961557,0.319830656,6616,55,165.5,39,Normal,20.2020202,Normal
37,U003,898769808.3,2333.0115,5077.9663,1.7577,0.260103583,0.720912545,6616,55,165.5,16,Normal,20.2020202,Normal
38,U003,678959493.2,1291.633,2787.6172,1.365155,0.260103583,0.616947805,3669,55,165.5,69,Ver Low,20.2020202,Normal
39,U003,4567,1291.633,2787.6172,1.0384552,0.262402922,0.706641624,3669,55,165.5,69,Ver Low,20.2020202,Normal
40,U003,81172343.07,2880.256,5898.2476,1.5082974,0.011536549,0.319830656,7410,55,165.5,80,Normal,20.2020202,Normal
41,U003,71021475.01,2880.256,5898.2476,1.075262,0.125961557,0.011536549,7410,55,165.5,10,Normal,20.2020202,Normal
42,U003,71021475.01,2001.867,4388.425,1.5550431,0.260103583,0.125961557,5554,55,165.5,54,Below Normal,20.2020202,Normal
43,U003,71021475.01,2001.867,4388.425,1.7485077,0.011536549,0.260103583,5554,55,165.5,54,Below Normal,20.2020202,Normal
44,U003,71021475.01,1066.5253,6620.2734,1.3949687,0.125961557,0.011536549,8671,55,165.5,71,Normal,20.2020202,Normal
45,U003,71021475.01,1066.5253,6620.2734,1.1305213,0.260103583,0.260103583,8671,55,165.5,71,Normal,20.2020202,Normal
46,U003,71021475.01,1996.8677,2178.3672,1.4481249,1.5082974,0.260103583,2823,55,165.5,23,Ver Low,20.2020202,Normal
47,U004,71021475.01,1244.686021,2490.926869,0.550139352,1.7289389,0.260103583,4454.877637,53,160.2,,Ver Low,20.703125,Normal
48,U004,71021475.01,1327,2490.926869,0.550139352,1.7289389,0.260103583,4454.877637,53,160.2,67,Ver Low,20.703125,Normal
49,U004,71021475.01,1327,2490.926869,0.550139352,1.7289389,0.260103583,4454.877637,53,160.2,,Ver Low,20.703125,Normal
50,U004,71021475.01,1327,2490.926869,0.550139352,1.7289389,0.260103583,4454.877637,53,160.2,90,Ver Low,20.703125,Normal
51,U004,71021475.01,1327,2490.926869,0.550139352,1.7289389,0.260103583,4454.877637,53,160.2,,Ver Low,20.703125,Normal
52,U004,71021475.01,1327,2490.926869,0.550139352,1.7289389,0.260103583,4454.877637,53,160.2,56,Ver Low,20.703125,Normal
53,U004,71021475.01,1327,2490.926869,0.550139352,1.7289389,0.260103583,4454.877637,53,160.2,,Ver Low,20.703125,Normal
54,U004,80968416,1326.999908,2490.926869,0.550139352,1.7289389,0.260103583,611,53,160.2,65,Ver Low,20.703125,Normal
55,U004,82526047,1372.353414,175.1739178,0.319585933,0.739711344,0.263876736,2778,53,160.2,,Ver Low,20.703125,Normal
56,U004,86262347,1332.586739,33.76335669,0.460614592,0.460614592,0.460614592,1168,53,160.2,76,Ver Low,20.703125,Normal
57,U004,86400000,1326.999959,2490.926869,0.550139352,1.7289389,0.260103583,2555,53,160.2,78,Ver Low,20.703125,Normal
58,U004,84280333,1416.097181,842.3569894,0.772400731,1.262131929,0.363349915,2340,53,160.2,90,Ver Low,20.703125,Normal
59,U004,85053675,1377.545693,130.9320431,0.345332692,0.478516549,0.342225969,1843,53,160.2,45,Ver Low,20.703125,Normal
60,U004,86143828,1337.396866,90.87520599,0.466873476,0.644172192,0.289576173,1198,53,160.2,,Ver Low,20.703125,Normal
61,U004,82620000,1480.413705,1988,0.304218035,0.652272701,0,3371,53,160.2,,Ver Low,20.703125,Normal
62,U004,82698311,1479.78273,796.8736048,0.387560813,1.433974743,0.28908959,3082,53,160.2,34,Ver Low,20.703125,Normal
63,U004,27811690,427.1540679,2490.926869,0.550139352,1.7289389,0.260103583,487,53,160.2,,Ver Low,20.703125,Normal
64,U004,71021475.01,1414.055702,9.714566929,0.000492,0.000492,0.000492,15,53,160.2,76,Ver Low,20.703125,Normal
65,U004,71021475.01,1414.055702,5.285433071,0.550139352,1.7289389,0.260103583,8,53,160.2,56,Ver Low,20.703125,Normal
66,U004,71021475.01,1414.055702,3113.728963,0.550139352,1.7289389,0.260103583,0,53,160.2,78,Below Normal,20.703125,Normal
67,U004,71021475.01,1414.055702,3126.134258,0,0,0,0,53,160.2,,Below Normal,20.703125,Normal
68,U004,71021475.01,1153.887428,2490.926869,0.550139352,1.7289389,0.260103583,4454.877637,53,160.2,,Ver Low,20.703125,Normal
69,U004,71021475.01,1326.999908,2490.926869,0.550139352,1.7289389,0.260103583,4454.877637,53,160.2,,Ver Low,20.703125,Normal
70,U004,70958119,1496.268316,1971.081476,0.570557419,1.340386152,0.298931569,3362,53,160.2,32,Ver Low,20.703125,Normal
71,U004,74485823,1583.459457,2243.246284,1.182226397,9.449999809,0.269038439,4313,53,160.2,47,Ver Low,20.703125,Normal
72,U004,85140222,1354.757642,163.2166529,0.524587748,0.726296306,0.298931599,745,53,160.2,11,Ver Low,20.703125,Normal
73,U004,77467342,1524.280018,3570.97724,0.663455958,1.78232038,0.265879422,6515,53,160.2,77,Below Normal,20.703125,Normal
74,U004,38695669,908.6477381,1124.941002,0.581145414,1.909999967,0.296513885,2350,53,160.2,29,Ver Low,20.703125,Normal
75,U004,71021475.01,1145.151701,2490.926869,0.550139352,1.7289389,0.260103583,5146,53,160.2,74,Ver Low,20.703125,Normal
76,U004,71021475.01,1327,2490.926869,0.550139352,1.7289389,0.260103583,7777,53,160.2,113,Ver Low,20.703125,Normal
77,U004,71021475.01,256.1070046,1411.430959,1.015616117,1.364352822,0.526269019,3646,53,160.2,41,Ver Low,20.703125,Normal
78,U004,71021475.01,1414.055702,2490.926869,0.550139352,1.7289389,0.260103583,4641,53,160.2,73,Ver Low,20.703125,Normal
79,U004,71021475.01,1414.055702,2490.926869,0.550139352,1.7289389,0.260103583,8161,53,160.2,121,Ver Low,20.703125,Normal
80,U004,71021475.01,1414.055702,2490.926869,0.550139352,1.7289389,0.260103583,4384,53,160.2,63,Ver Low,20.703125,Normal
81,U004,71021475.01,1414.055702,2490.926869,0.550139352,1.7289389,0.260103583,1038,53,160.2,14,Ver Low,20.703125,Normal
82,U004,71021475.01,1160.316206,2490.926869,0.550139352,1.7289389,0.260103583,3639,53,160.2,48,Ver Low,20.703125,Normal
83,U004,71021475.01,1327,2490.926869,0.550139352,1.7289389,0.260103583,428,53,160.2,1,Ver Low,20.703125,Normal
84,U004,71021475.01,1444.584233,2612.456281,1.096342706,4.652984142,0.507477045,5455,53,160.2,61,Ver Low,20.703125,Normal
85,U004,71021475.01,266.30851,1293.909367,0.415164873,5.898983002,0.259074032,2216,53,160.2,21,Ver Low,20.703125,Normal
86,U004,71021475.01,1414.055702,2746.588238,0.465434511,1.444050431,0.252451062,5178,53,160.2,72,Ver Low,20.703125,Normal
87,U004,71021475.01,1245.018352,2167.308806,0.545268162,1.21778214,0.269038439,4047,53,160.2,60,Ver Low,20.703125,Normal
88,U004,71021475.01,1327,1844.444551,0.373681738,1.119924426,0.259074032,3350,53,160.2,53,Ver Low,20.703125,Normal
89,U004,71021475.01,1295.38169,4700.665994,0.453810512,1.291945815,0.253860831,7955,53,160.2,104,Below Normal,20.703125,Normal
90,U004,71021475.01,1327,5118.306365,0.560200958,1.127033949,0.257841706,9066,53,160.2,122,Normal,20.703125,Normal
91,U004,1142120,1444.390633,2962.984694,0.503052302,1.785368085,0.264700562,5137,53,160.2,54,Ver Low,20.703125,Normal
92,U004,14807,1414.609901,1881.967378,0.570983639,1.886980653,0.288967192,2960,53,160.2,32,Ver Low,20.703125,Normal
93,U004,71021475.01,1327.000006,3340.190983,0.576962596,1.267996669,0.259074032,6021,53,160.2,89,Below Normal,20.703125,Normal
94,U004,69239865,1669.356516,5795.988688,0.736342184,17.18424225,0.188147545,9627,53,160.2,133,Normal,20.703125,Normal
95,U005,76409217,1510.412948,3021.983846,0.67342037,7.831314087,0.259074032,5311,55,160.2,78,Below Normal,21.484375,Normal
96,U005,75676725,1579.014021,3882.40216,0.607720844,1.511836767,0.267594606,6967,55,160.2,103,Below Normal,21.484375,Normal
97,U005,76971872,1514.178609,3000.349797,0.615903754,1.203049779,0.104344793,5379,55,160.2,73,Below Normal,21.484375,Normal
98,U005,79490231,1404.325028,644.9064293,1.12822798,33,0.259074032,1229,55,160.2,15,Ver Low,21.484375,Normal
99,U005,77699223,1524.488571,3990.872802,0.540292516,4.123856068,0.170320332,4810,55,160.2,68,Below Normal,21.484375,Normal
100,U005,75656105,1536.884917,3164.72454,0.758764065,25.04688263,0.248069301,5330,55,160.2,81,Below Normal,21.484375,Normal
101,U005,62005932,1433.803572,1643.904785,3.062913751,28.66440964,0.185708597,2652,55,160.2,34,Ver Low,21.484375,Normal
102,U005,70914714,1727.176259,6190.589224,0.75982941,18.73336983,0.269038439,10895,55,160.2,155,Normal,21.484375,Normal
103,U005,81598227,1417.259779,1123.39302,0.546214267,3.904157877,0.269038439,1772,55,160.2,26,Ver Low,21.484375,Normal
104,U005,72436327,1519.925838,2639.863439,0.554178532,1.37972331,0.259074032,4607,55,160.2,66,Ver Low,21.484375,Normal
105,U005,85148382,1335.345852,226.1413684,0.492755219,0.745224357,0.259074032,542,55,160.2,4,Ver Low,21.484375,Normal
106,U005,76313737,1613.875221,4332.091758,0.643516684,5.932891846,0.186513349,7198,55,160.2,108,Below Normal,21.484375,Normal
107,U005,72074379,1615.162313,3884.632165,0.550139352,2.516521215,0.252065033,6787,55,160.2,100,Below Normal,21.484375,Normal
108,U005,77544093,1569.443795,3591.009165,0.412460026,1.413897395,0,6279,55,160.2,86,Below Normal,21.484375,Normal
109,U005,76731112,1556.116324,3682.197435,0.940871716,10.62787628,0,6139,55,160.2,78,Below Normal,21.484375,Normal
110,U005,79799751,1454.100665,2780.572026,0.641335958,1.248143911,0.277766407,4463,55,160.2,54,Ver Low,21.484375,Normal
111,U005,68399361,1539.176941,3223.034104,0.442264527,1.114294052,0.25926128,5874,55,160.2,92,Below Normal,21.484375,Normal
112,U005,67565465,1567.565089,4303.092896,0.509922047,1.313515425,0.259074032,7325,55,160.2,98,Below Normal,21.484375,Normal
113,U005,78266205,1501.534734,2408.119194,0.538636313,1.848542571,0.250556588,4429,55,160.2,64,Ver Low,21.484375,Normal
114,U005,71631615,1690.088582,5967.409305,0.510858294,1.325935841,0.233427688,10151,55,160.2,146,Normal,21.484375,Normal
115,U005,68036474,1795.719102,7887.447289,0.5200255,1.401484132,0.229573593,12979,55,160.2,174,Normal,21.484375,Normal
116,U005,72913510,1717.9259,6612.564906,0.531900079,1.440314651,0.168482915,11344,55,160.2,167,Normal,21.484375,Normal
117,U005,70353866,1727.355338,6355.528054,0.486943688,1.387522817,0,11034,55,160.2,153,Normal,21.484375,Normal
118,U005,74399901,1726.944114,6682.740736,0.591531825,1.431141376,0.084487915,10766,55,160.2,140,Normal,21.484375,Normal
119,U005,83349670,1425.178632,1951.896326,0.357598354,1.175702691,0.282324463,3285,55,160.2,37,Ver Low,21.484375,Normal
120,U005,70879330,1747.35468,6368.892648,0.482522861,1.232894301,0.255383551,10716,55,160.2,155,Normal,21.484375,Normal
121,U005,73938619,1669.816752,6457.071826,0.53045905,1.25294137,0.254337549,10675,55,160.2,151,Normal,21.484375,Normal
122,U005,70323769,1815.134348,8689.955766,0.53507734,2.518103123,0.269038439,14082,55,160.2,181,Normal,21.484375,Normal
